original english paragraphs,deepl paragraphs,google paragraphs,human-translated paragraphs
"i found a little crowd of perhaps twenty people surrounding the huge
hole in which the cylinder lay. i have already described the appearance
of that colossal bulk, embedded in the ground. the turf and gravel
about it seemed charred as if by a sudden explosion. no doubt its
impact had caused a flash of fire. henderson and ogilvy were not there.
i think they perceived that nothing was to be done for the present, and
had gone away to breakfast at henderson’s house.","J'ai trouvé une petite foule d'une vingtaine de personnes autour de l'énorme trou dans lequel se trouvait le cylindre.
dans lequel gisait le cylindre. J'ai déjà décrit l'aspect de cette masse colossale, enfoncée dans le sol.
l'aspect de cette masse colossale, enfoncée dans le sol. le gazon et le gravier qui l'entouraient semblaient
Le gazon et le gravier qui l'entouraient semblaient avoir été carbonisés comme par une explosion soudaine.
Henderson et Ogilvy n'étaient pas là.
Je pense qu'ils avaient compris qu'il n'y avait rien à faire pour l'instant et qu'ils étaient partis prendre leur petit déjeuner chez Henderson et Ogilvy.
et qu'ils étaient partis prendre leur petit déjeuner chez Henderson.","j'ai trouvé une petite foule d'environ vingt personnes entourant l'immense
trou dans lequel se trouvait le cylindre. j'ai déjà décrit l'apparence
de cette masse colossale, enfouie dans le sol. le gazon et le gravier
il semblait carbonisé comme par une explosion soudaine. sans aucun doute c'est
L'impact avait provoqué un éclair de feu. Henderson et Ogilvy n'étaient pas là.
je pense qu'ils ont compris qu'il n'y avait rien à faire pour le moment, et
était parti prendre le petit déjeuner chez Henderson.","je trouvai une vingtaine de personnes environ rassemblées autour du trou
immense dans lequel s’était enfoncé le cylindre. j’ai déjà décrit
l’aspect de cette masse colossale enfouie dans le sol. le gazon et le
sable alentour semblaient avoir été bouleversés par une soudaine
explosion. nul doute que sa chute n’ait produit une grande flamme
subite. henderson et ogilvy n’étaient pas là. je crois qu’ils s’étaient
rendu compte qu’il n’y avait rien à faire pour le présent et qu’ils
étaient partis déjeuner."
"there were four or five boys sitting on the edge of the pit, with their
feet dangling, and amusing themselves—until i stopped them—by throwing
stones at the giant mass. after i had spoken to them about it, they
began playing at touch in and out of the group of bystanders.","il y avait quatre ou cinq garçons assis sur le bord de la fosse, les pieds pendants, et qui s'amusaient
pieds pendants, et s'amusaient - jusqu'à ce que je les en empêche - à jeter des pierres sur la masse géante.
de la masse géante. après que je leur en eus parlé, ils se mirent à jouer à la
se sont mis à jouer à touche-touche dans et hors du groupe des badauds.","il y avait quatre ou cinq garçons assis au bord de la fosse, avec leurs
les pieds pendants, et s'amusaient - jusqu'à ce que je les arrête - en lançant
pierres à la masse géante. après que je leur en ai parlé, ils
a commencé à jouer au toucher dans et hors du groupe de spectateurs.","quatre ou cinq gamins assis au bord du trou, les jambes pendantes,
s’amusaient jusqu’à ce que je les eusse arrêtés à jeter des pierres
contre la masse géante. après que je leur eus fait des remontrances, ils
se mirent à jouer à “chat” au milieu du groupe de curieux."
"among these were a couple of cyclists, a jobbing gardener i employed
sometimes, a girl carrying a baby, gregg the butcher and his little
boy, and two or three loafers and golf caddies who were accustomed to
hang about the railway station. there was very little talking. few of
the common people in england had anything but the vaguest astronomical
ideas in those days. most of them were staring quietly at the big table
like end of the cylinder, which was still as ogilvy and henderson had
left it. i fancy the popular expectation of a heap of charred corpses
was disappointed at this inanimate bulk. some went away while i was
there, and other people came. i clambered into the pit and fancied i
heard a faint movement under my feet. the top had certainly ceased to
rotate.","Parmi eux, un couple de cyclistes, un jardinier que j'employais parfois, une fille portant un bébé, Gregg le boucher et son petit garçon.
une fille portant un bébé, Gregg le boucher et son petit garçon, et deux ou trois
deux ou trois flâneurs et caddies de golf qui avaient l'habitude de traîner autour de la gare.
de la gare. on parlait très peu. peu de gens en Angleterre avaient quelque chose à dire.
l'époque, les gens ordinaires d'Angleterre n'avaient que des idées astronomiques très vagues.
la plupart d'entre eux fixaient tranquillement le bout du cylindre, qui ressemblait à une
la plupart d'entre eux fixaient tranquillement le bout du cylindre qui ressemblait à une grande table et qui était resté tel qu'ogilvy et henderson l'avaient laissé.
j'imagine que l'attente populaire d'un tas de cadavres carbonisés a été déçue par cette masse inanimée.
de cadavres carbonisés a été déçue par cet amas inanimé. certains sont partis pendant que j'étais là, et d'autres sont venus.
Je me suis glissé dans la fosse et j'ai cru entendre un léger mouvement sous mes pieds.
sous mes pieds. le sommet avait certainement cessé de tourner.
tourner.","parmi eux se trouvaient quelques cyclistes, un jardinier que j'employais
parfois, une fille portant un bébé, Gregg le boucher et son petit
garçon, et deux ou trois mocassins et caddies de golf habitués à
traîner à la gare. on parlait très peu. quelques-uns
les gens ordinaires d'Angleterre avaient tout sauf de vagues connaissances astronomiques.
idées à cette époque. la plupart d'entre eux regardaient tranquillement la grande table
comme l'extrémité du cylindre, qui était toujours comme Ogilvy et Henderson l'avaient fait
je l'ai laissé. j'aime l'attente populaire d'un tas de cadavres carbonisés
fut déçu par cette masse inanimée. certains sont partis pendant que j'étais
là, et d'autres personnes sont venues. j'ai grimpé dans la fosse et j'ai cru que je
J'ai entendu un léger mouvement sous mes pieds. le sommet avait certainement cessé d'être
tourner.","parmi ceux-ci était un couple de cyclistes, un ouvrier jardinier que
j’employais parfois, une fillette portant un bébé dans ses bras, gregg
le boucher et son garçon, plus deux ou trois commissionnaires
occasionnels qui traînaient habituellement aux alentours de la station
du chemin de fer. on parlait très peu. les gens du commun peuple
n’avaient alors en angleterre que des idées fort vagues sur les
phénomènes astronomiques. la plupart d’entre eux contemplaient
tranquillement l’énorme sommet plat du cylindre qui était encore tel
qu’ogilvy et henderson l’avaient laissé. le populaire, qui s’attendait à
un tas de corps carbonisés, était, je crois, fort désappointé de trouver
cette masse inanimée. quelques-uns s’en allèrent et d’autres arrivèrent
pendant que j’étais là. je descendis dans le trou et je crus sentir un
faible mouvement sous mes pieds. le sommet avait certainement cessé de
tourner."
"it was only when i got thus close to it that the strangeness of this
object was at all evident to me. at the first glance it was really no
more exciting than an overturned carriage or a tree blown across the
road. not so much so, indeed. it looked like a rusty gas float. it
required a certain amount of scientific education to perceive that the
grey scale of the thing was no common oxide, that the yellowish-white
metal that gleamed in the crack between the lid and the cylinder had an
unfamiliar hue. extra-terrestrial had no meaning for most of the
onlookers.","c'est en m'approchant de lui que l'étrangeté de cet objet m'a paru évidente.
de cet objet. au premier coup d'oeil, il n'etait pas plus excitant qu'une voiture
plus excitant qu'une voiture renversée ou qu'un arbre projeté sur la route.
pas tant que cela. il ressemblait à un flotteur de gaz rouillé. il fallait une certaine
Il fallait une certaine éducation scientifique pour s'apercevoir que l'échelle de gris de l'objet n'était pas du tout la même que celle des autres.
que l'écaille grise de la chose n'était pas de l'oxyde ordinaire, que le métal
blanc jaunâtre qui brillait dans la fente entre le couvercle et le cylindre avait une teinte inconnue.
extra-terrestre n'avait aucun sens pour la plupart des spectateurs.
spectateurs.","ce n'est que lorsque je m'en suis approché que l'étrangeté de cette situation
L’objet m’était absolument évident. à première vue c'était vraiment non
plus excitant qu'une voiture renversée ou qu'un arbre soufflé à travers le
route. pas tellement, en fait. cela ressemblait à un flotteur à gaz rouillé. il
Il a fallu une certaine formation scientifique pour percevoir que le
L'échelle de gris de la chose n'était pas un oxyde commun, que le blanc jaunâtre
le métal qui brillait dans la fissure entre le couvercle et le cylindre avait une
teinte inconnue. extraterrestre n'avait aucun sens pour la plupart des
spectateurs.","ce fut seulement lorsque j’en approchai de près que l’étrangeté de cet
objet me devint évidente. a première vue, ce n’était réellement pas
plus émouvant qu’une voiture renversée ou un arbre abattu par le vent en
travers de la route. pas même autant, à vrai dire. cela ressemblait à un
gazomètre rouillé, à demi enfoncé dans le sol, plus qu’à autre chose au
monde. il fallait une certaine éducation scientifique pour se rendre
compte que les écailles grises qui le recouvraient n’étaient pas une
oxydation ordinaire, que le métal d’un blanc jaunâtre qui brillait dans
la fissure entre le couvercle et le cylindre n’était pas d’une teinte
familière. “extra-terrestre” n’avait aucune signification pour la
plupart des spectateurs."
"at that time it was quite clear in my own mind that the thing had come
from the planet mars, but i judged it improbable that it contained any
living creature. i thought the unscrewing might be automatic. in spite
of ogilvy, i still believed that there were men in mars. my mind ran
fancifully on the possibilities of its containing manuscript, on the
difficulties in translation that might arise, whether we should find
coins and models in it, and so forth. yet it was a little too large for
assurance on this idea. i felt an impatience to see it opened. about
eleven, as nothing seemed happening, i walked back, full of such
thought, to my home in maybury. but i found it difficult to get to work
upon my abstract investigations.","a l'epoque, il etait clair dans mon esprit que l'objet provenait de la planete mars, mais j'ai juge improbable qu'il contienne quelque chose d'autre.
de la planète mars, mais je jugeais improbable qu'elle contienne un être vivant.
Je pensais que le dévissage pouvait être automatique. En dépit d'Ogilvy, je croyais toujours qu'il y avait des hommes sur Mars.
malgré ogilvy, je croyais encore qu'il y avait des hommes sur mars.
fantaisiste sur la possibilité qu'elle contienne un manuscrit, sur les
les difficultés de traduction qui pourraient en résulter, la possibilité d'y trouver des pièces de monnaie et des modèles, etc.
et des modèles, et ainsi de suite. mais il était un peu trop grand pour que je puisse m'assurer de cette idée.
de cette idée. j'avais hâte qu'on l'ouvre. vers onze heures, comme il ne se passait rien, j'ai
de l'histoire de l'art, de l'histoire de la culture, de l'histoire de l'art, de l'histoire de l'art, de l'histoire de l'art.
de ces pensées, je retournai chez moi, à Maybury.
mes recherches abstraites.","à ce moment-là, il était tout à fait clair dans mon esprit que la chose était arrivée
de la planète Mars, mais j'ai jugé improbable qu'il contienne du
créature vivante. je pensais que le dévissage pourrait être automatique. malgré
d'Ogilvy, je croyais toujours qu'il y avait des hommes sur Mars. mon esprit a couru
fantaisiste sur les possibilités de son manuscrit contenant, sur le
difficultés de traduction qui pourraient surgir, si nous devrions trouver
des pièces de monnaie et des modèles, etc. mais il était un peu trop grand pour
assurance sur cette idée. j'éprouvais une impatience de la voir ouverte. à propos
onze heures, comme rien ne semblait se passer, je suis revenu à pied, plein de telles
pensa-t-il, chez moi à Maybury. mais j'ai eu du mal à me rendre au travail
sur mes investigations abstraites.","il fut à ce moment absolument clair dans mon esprit que la chose était
venue de la planète mars; mais je jugeais improbable qu’elle contînt une
créature vivante quelconque. je pensais que le dévissement était
automatique. malgré ogilvy, je croyais à des habitants dans mars. mon
esprit vagabonda à sa fantaisie autour des possibilités d’un manuscrit
enfermé à l’intérieur et des difficultés que soulèverait sa traduction,
ou bien de monnaies, de modèles ou de représentations diverses qu’il
contiendrait et ainsi de suite. cependant l’objet était un peu trop gros
pour que cette idée pût me rassurer. j’étais impatient de le voir
ouvert. vers onze heures, comme rien ne paraissait se produire, je m’en
retournai, plein de ces préoccupations, chez moi, à maybury. mais
j’éprouvai de la difficulté à reprendre mes investigations abstraites."
"in the afternoon the appearance of the common had altered very much.
the early editions of the evening papers had startled london with
enormous headlines:","dans l'apres-midi, l'aspect de la commune a ete tres modifie.
les premières éditions des journaux du soir avaient effrayé londres avec d'énormes
des titres énormes :","dans l'après-midi, l'aspect des communs avait beaucoup changé.
les premières éditions des journaux du soir avaient surpris Londres avec
gros titres :","dans l’après-midi, l’aspect de la lande avait grandement changé. les
premières éditions des journaux du soir avaient étonné londres avec
d’énormes manchettes:"
a message received from mars.,un message reçu de mars.,un message reçu de mars.,un message venu de mars.
"remarkable story from woking,","histoire remarquable de woking,","histoire remarquable du réveil,",surprenante nouvelle
"and so forth. in addition, ogilvy’s wire to the astronomical exchange
had roused every observatory in the three kingdoms.","et ainsi de suite. en outre, le télégramme d'ogilvy à la bourse astronomique
avait mobilisé tous les observatoires des trois royaumes.","et ainsi de suite. De plus, le fil d'Ogilvy à l'échange astronomique
avait réveillé tous les observatoires des trois royaumes.","et bien d’autres. de plus, le télégramme d’ogilvy au bureau
central météorologique avait bouleversé tous les observatoires du
royaume-uni."
"there were half a dozen flys or more from the woking station standing
in the road by the sand-pits, a basket-chaise from chobham, and a
rather lordly carriage. besides that, there was quite a heap of
bicycles. in addition, a large number of people must have walked, in
spite of the heat of the day, from woking and chertsey, so that there
was altogether quite a considerable crowd—one or two gaily dressed
ladies among the others.","de la station de Woking qui se tenait sur la route des sablières, une demi-douzaine de
de la route, près des sablières, une voiture à panier de Chobham, et une
de la gare de woking sur la route des sablières, une voiture-panier de chobham, et une calèche plutôt seigneuriale. en outre, il y avait un tas de bicyclettes.
de bicyclettes. en outre, un grand nombre de personnes ont du marcher, malgre la chaleur de la journee, pour se rendre a l'hotel.
de la chaleur du jour, de woking et de chertsey, si bien qu'il y avait au total une
de sorte qu'il y avait au total une foule assez considérable - une ou deux dames
dames gaiement vêtues parmi les autres.","il y avait une demi-douzaine de mouches ou plus depuis la station de travail debout
sur la route près des sablières, une chaise-panier de Chobham et un
voiture plutôt seigneuriale. à part ça, il y avait pas mal de
vélos. en outre, un grand nombre de personnes ont dû marcher,
malgré la chaleur du jour, du réveil et du chertsey, de sorte qu'il y a
Il y avait au total une foule assez considérable : un ou deux personnes gaiement habillées
mesdames parmi les autres.","il y avait sur la route, près des carrières de sable, une demi-douzaine
au moins de voitures de louage de la station de woking, un cabriolet
venu de chobham et un landau majestueux. non loin, se trouvaient
d’innombrables bicyclettes. de plus, un grand nombre de gens, en dépit
de la chaleur, étaient venus à pied de woking et de chertsey, de sorte
qu’il y avait là maintenant une foule considérable, dans laquelle se
voyaient plusieurs jolies dames en robes claires."
"it was glaringly hot, not a cloud in the sky nor a breath of wind, and
the only shadow was that of the few scattered pine trees. the burning
heather had been extinguished, but the level ground towards ottershaw
was blackened as far as one could see, and still giving off vertical
streamers of smoke. an enterprising sweet-stuff dealer in the chobham
road had sent up his son with a barrow-load of green apples and ginger
beer.","Il faisait une chaleur accablante, pas un nuage dans le ciel, pas un souffle de vent, et la seule ombre était celle des quelques pins épars.
la seule ombre était celle des quelques pins épars. la bruyère ardente s'était éteinte
bruyère en feu s'était éteinte, mais le sol plat en direction d'ottershaw
était noirci à perte de vue et dégageait encore des filets de fumée verticaux.
de fumée. un marchand de bonbons entreprenant de la route de chobham avait envoyé son
de la route de Chobham avait fait monter son fils avec une brouette de pommes vertes et de
gingembre.","il faisait une chaleur accablante, pas un nuage dans le ciel ni un souffle de vent, et
la seule ombre était celle des quelques pins épars. la brûlure
la bruyère avait été éteinte, mais le terrain plat vers Ottershaw
était noirci à perte de vue et dégageait toujours des reflets verticaux.
des banderoles de fumée. un marchand de friandises entreprenant dans le Chobham
la route avait envoyé son fils avec une brouette chargée de pommes vertes et de gingembre
bière.","la chaleur était suffocante; il n’y avait aucun nuage au ciel ni la
moindre brise, et la seule ombre aux alentours était celle que
projetaient quelques sapins épars. on avait éteint l’incendie des
bruyères, mais aussi loin que s’étendait la vue vers ottershaw, la lande
unie était noire et couverte de cendres d’où s’échappaient encore des
traînées verticales de fumée. un marchand de rafraîchissements
entreprenant avait envoyé son fils avec une charge de fruits et de
bouteilles de bière."
"going to the edge of the pit, i found it occupied by a group of about
half a dozen men—henderson, ogilvy, and a tall, fair-haired man that i
afterwards learned was stent, the astronomer royal, with several
workmen wielding spades and pickaxes. stent was giving directions in a
clear, high-pitched voice. he was standing on the cylinder, which was
now evidently much cooler; his face was crimson and streaming with
perspiration, and something seemed to have irritated him.","En m'approchant du bord de la fosse, je l'ai trouvée occupée par un groupe d'une demi-douzaine d'hommes.
d'une demi-douzaine d'hommes - Henderson, Ogilvy, et un homme grand et blond dont j'appris par la suite qu'il s'agissait de Stent, l'astronome royal, avec plusieurs autres hommes.
que j'appris par la suite qu'il s'agissait de stent, l'astronome royal, avec plusieurs
plusieurs ouvriers maniant des bêches et des pioches. stent donnait des instructions d'une voix claire et aiguë.
d'une voix claire et aiguë. il se tenait sur le cylindre, qui était manifestement beaucoup plus froid.
Il se tenait sur le cylindre, qui était maintenant manifestement beaucoup plus froid ; son visage était cramoisi et ruisselait de
transpiration, et quelque chose semblait l'avoir irrité.","en allant au bord de la fosse, je l'ai trouvée occupée par un groupe d'environ
une demi-douzaine d'hommes : Henderson, Ogilvy et un grand homme blond que je
ensuite appris était stent, l'astronome royal, avec plusieurs
ouvriers brandissant des pelles et des pioches. le stent donnait des instructions dans un
voix claire et aiguë. il se tenait sur le cylindre, qui était
maintenant évidemment beaucoup plus frais ; son visage était cramoisi et ruisselant de
transpiration, et quelque chose semblait l'avoir irrité.","en m’avançant jusqu’au bord du trou, je le trouvai occupé par un groupe
d’une demi-douzaine de gens. henderson, ogilvy, et un homme de haute
taille et très blond que je sus après être stent, de l’observatoire
royal, dirigeant des ouvriers munis de pelles et de pioches. stent
donnait des ordres d’une voix claire et aiguë. il était debout sur le
cylindre qui devait être maintenant considérablement refroidi. sa figure était rouge et transpirait abondamment; quelque chose semblait
l’avoir irrité."
"a large portion of the cylinder had been uncovered, though its lower
end was still embedded. as soon as ogilvy saw me among the staring
crowd on the edge of the pit he called to me to come down, and asked me
if i would mind going over to see lord hilton, the lord of the manor.","une grande partie du cylindre avait été découverte, bien que son extrémité inférieure fût encore encastrée.
l'extrémité inférieure était encore encastrée. dès qu'ogilvy m'aperçut parmi la foule
de la fosse, il m'appela pour que je descende et me demanda si je voulais bien aller voir lord Hilton, le lord de la fosse.
si je voulais bien aller voir lord Hilton, le seigneur du manoir.","une grande partie du cylindre avait été découverte, bien que sa partie inférieure
la fin était toujours intégrée. dès qu'Ogilvy m'a vu parmi les regards
foule au bord de la fosse, il m'a appelé à descendre et m'a demandé
si cela me dérangeait d'aller voir Lord Hilton, le seigneur du manoir.","une grande partie du cylindre avait été dégagée, bien que sa partie
inférieure fût encore enfoncée dans le sol. aussitôt qu’ogilvy m’aperçut
dans la foule, il me fit signe de descendre et me demanda si je voulais
aller trouver lord hilton, le propriétaire."
"the growing crowd, he said, was becoming a serious impediment to their
excavations, especially the boys. they wanted a light railing put up,
and help to keep the people back. he told me that a faint stirring was
occasionally still audible within the case, but that the workmen had
failed to unscrew the top, as it afforded no grip to them. the case
appeared to be enormously thick, and it was possible that the faint
sounds we heard represented a noisy tumult in the interior.","la foule grandissante, disait-il, devenait un obstacle sérieux à leurs fouilles, surtout pour les garçons.
de leurs fouilles, surtout pour les garçons. ils voulaient qu'on installe une légère balustrade
Il m'a dit qu'une faible agitation était encore audible de temps en temps à l'intérieur de l'enceinte, mais que les ouvriers avaient
de l'eau, mais que les ouvriers n'avaient pas réussi à dévisser le couvercle, ce qui

Le boîtier paraissait très épais, et il était possible que les faibles
que les faibles bruits que nous entendions représentaient un tumulte bruyant à l'intérieur.","la foule croissante, dit-il, devenait un obstacle sérieux à leur
fouilles, surtout les garçons. ils voulaient installer une rampe légère,
et aider à retenir les gens. il m'a dit qu'un léger mouvement était
parfois encore audible à l'intérieur du boîtier, mais que les ouvriers avaient
Je n'ai pas réussi à dévisser le dessus, car il ne leur offrait aucune adhérence. le cas
semblait être extrêmement épais, et il était possible que le faible
les bruits que nous entendions représentaient un tumulte bruyant à l’intérieur.","la foule, qui augmentait sans cesse et spécialement les gamins, dit-il,
devenait un sérieux embarras pour leurs fouilles. il voulait donc qu’on
installât un léger barrage et qu’on les aidât à maintenir les gens à une
distance convenable. il me dit aussi que de faibles mouvements
s’entendaient de temps à autre dans l’intérieur, mais que les ouvriers
avaient dû renoncer à dévisser le sommet parce qu’il n’offrait aucune
prise. les parois paraissaient être d’une épaisseur énorme et il était
possible que les sons affaiblis qui parvenaient au dehors fussent les
signes d’un bruyant tumulte à l’intérieur."
"i was very glad to do as he asked, and so become one of the privileged
spectators within the contemplated enclosure. i failed to find lord
hilton at his house, but i was told he was expected from london by the
six o’clock train from waterloo; and as it was then about a quarter
past five, i went home, had some tea, and walked up to the station to
waylay him.","J'étais très heureux de faire ce qu'il me demandait et de devenir ainsi l'un des spectateurs privilégiés de l'enceinte envisagée.
de l'enclos envisagé. je n'ai pas trouvé lord hilton chez lui, mais on m'a dit qu'il était attendu de Londres par le
de lord Hilton chez lui, mais on m'a dit qu'il était attendu à Londres par le train de six heures de
de Londres par le train de six heures en provenance de Waterloo.
de l'histoire de l'art, de l'histoire de l'art et de l'histoire de l'art, de l'histoire de l'art et de l'histoire de l'art.
de la gare pour l'attaquer.","j'étais très heureux de faire ce qu'il demandait et de devenir ainsi l'un des privilégiés
spectateurs à l’intérieur de l’enceinte contemplée. je n'ai pas réussi à trouver seigneur
Hilton chez lui, mais on m'a dit qu'il était attendu de Londres par le
Train de six heures de Waterloo ; et comme c'était alors environ un quart
Cinq heures passées, je suis rentré chez moi, j'ai pris du thé et j'ai marché jusqu'à la gare pour
le harceler.","j’étais très content de lui rendre le service qu’il me demandait et de
devenir ainsi un des spectateurs privilégiés en deça de la clôture. je
ne rencontrai pas lord hilton chez lui, mais j’appris qu’on l’attendait
par le train de six heures; comme il était alors cinq heures un quart,
je rentrai chez moi prendre le thé et me rendis ensuite à la gare."
"when i returned to the common the sun was setting. scattered groups
were hurrying from the direction of woking, and one or two persons were
returning. the crowd about the pit had increased, and stood out black
against the lemon yellow of the sky—a couple of hundred people,
perhaps. there were raised voices, and some sort of struggle appeared
to be going on about the pit. strange imaginings passed through my
mind. as i drew nearer i heard stent’s voice:","Quand je suis revenu au bord de la mer, le soleil se couchait.
de l'homme, de la femme, de l'homme, de l'homme, de l'homme, de l'homme, de l'homme, de l'homme, de l'homme
La foule autour de la fosse s'était accrue et se détachait en noir sur le jaune citron du ciel.
sur le jaune citron du ciel - quelques centaines de personnes,
des voix s'élevaient, et une sorte de lutte semblait se dérouler autour de la fosse.
de la fosse. d'étranges imaginations me traversaient l'esprit.
En m'approchant, j'entendis la voix de Stent :","quand je suis revenu à la commune, le soleil se couchait. groupes dispersés
se précipitaient dans la direction du réveil, et une ou deux personnes étaient
revenir. la foule autour de la fosse avait augmenté et se détachait en noir
sur le jaune citron du ciel – quelques centaines de personnes,
peut-être. des voix s'élevèrent et une sorte de lutte apparut
parler de la fosse. d'étranges imaginations m'ont traversé
esprit. en m'approchant, j'ai entendu la voix du stent :","quand je revins à la lande, le soleil se couchait. des groupes épars se
hâtaient, venant de woking, et une ou deux personnes s’en retournaient.
la foule autour du trou avait augmenté, et se détachait noire sur le
jaune pâle du ciel deux cents personnes environ. des voix s’élevèrent
et il sembla se produire une sorte de lutte à l’entour du trou.
d’étranges idées me vinrent à l’esprit. comme j’approchais, j’entendis
la voix de stent qui criait:"
keep back! keep back!,Ne vous arrêtez pas ! Ne vous arrêtez pas !,retiens-toi ! retiens-toi !,en arrière! en arrière!
a boy came running towards me.,un garçon a couru vers moi.,un garçon est venu en courant vers moi.,un gamin arrivait en courant vers moi:
"it’s a-movin’, he said to me as he passed; a-screwin’ and a-screwin’
out. i don’t like it. i’m a-goin’ ’ome, i am.","ça bouge, m'a-t-il dit en passant, ça tourne, ça tourne... Je n'aime pas ça.
Je n'aime pas ça. Je vais rentrer chez moi.","ça bouge, me dit-il en passant ; une baise et une baise
dehors. je n'aime pas ça. je pars chez moi, je le suis.","ça remue, me dit-il en passant ça se dévisse tout seul. c’est du
louche, tout ça merci je me sauve."
"i went on to the crowd. there were really, i should think, two or three
hundred people elbowing and jostling one another, the one or two ladies
there being by no means the least active.","Je suis allé vers la foule. Il y avait vraiment, je pense, deux ou trois cents personnes qui se bousculaient et jouaient des coudes, une ou deux dames.
de deux ou trois cents personnes qui jouaient des coudes et se bousculaient, les une ou deux dames
les deux dames qui se trouvaient là n'étaient pas les moins actives.","je suis allé vers la foule. il y en avait vraiment, je pense, deux ou trois
des centaines de personnes se coudaient et se bousculaient, une ou deux dames
il n’y en a pas du tout le moins actif.","je continuai ma route. il y avait bien là, j’imagine, deux ou trois
cents personnes se pressant et se coudoyant, les quelques femmes n’étant
en aucune façon les moins actives."
he’s fallen in the pit! cried some one.,il est tombé dans la fosse ! s'écria quelqu'un.,il est tombé dans la fosse ! s'écria quelqu'un.,il est tombé dans le trou! cria quelqu’un.
keep back! said several.,Revenez ! ont dit plusieurs.,retiens-toi ! dirent plusieurs.,en arrière! crièrent des voix.
"the crowd swayed a little, and i elbowed my way through. every one
seemed greatly excited. i heard a peculiar humming sound from the pit.","la foule s'est un peu agitée, et j'ai joué des coudes pour me frayer un chemin. tout le monde semblait très excité.
J'ai entendu un bourdonnement particulier provenant de la fosse.","la foule a légèrement oscillé et je me suis frayé un chemin à coups de coude. tout le monde
semblait très excité. J'ai entendu un bourdonnement particulier venant de la fosse.","la foule s’agita quelque peu, et en jouant des coudes, je me frayai un
chemin entre les rangs pressés. tout ce monde semblait grandement
surexcité. j’entendis un bourdonnement particulier qui venait du trou."
"i say! said ogilvy; help keep these idiots back. we don’t know
what’s in the confounded thing, you know!","Je le dis ! dit Ogilvy ; aidez-nous à retenir ces idiots.
ce qu'il y a dans ce foutu truc, vous savez !","je dis! dit Ogilvy ; aidez à retenir ces idiots. nous ne savons pas
qu’est-ce qu’il y a dans cette foutue chose, tu sais !","dites donc, me cria ogilvy, aidez-nous à maintenir ces idiots à
distance. on ne sait pas ce qu’il peut y avoir dans cette diable de
chose."
"i saw a young man, a shop assistant in woking i believe he was,
standing on the cylinder and trying to scramble out of the hole again.
the crowd had pushed him in.","J'ai vu un jeune homme, vendeur à Woking je crois,
debout sur le cylindre et essayant de sortir du trou.
La foule l'avait poussé à l'intérieur.","J'ai vu un jeune homme, un vendeur à Woking, je crois que c'était lui,
debout sur le cylindre et essayant à nouveau de sortir du trou.
la foule l'avait poussé à l'intérieur.","je vis un jeune homme, que je reconnus pour un garçon de boutique de
woking, qui essayait de regrimper hors du trou dans lequel la foule
l’avait poussé."
"the end of the cylinder was being screwed out from within. nearly two
feet of shining screw projected. somebody blundered against me, and i
narrowly missed being pitched onto the top of the screw. i turned, and
as i did so the screw must have come out, for the lid of the cylinder
fell upon the gravel with a ringing concussion. i stuck my elbow into
the person behind me, and turned my head towards the thing again. for a
moment that circular cavity seemed perfectly black. i had the sunset in
my eyes.","l'extrémité du cylindre était vissée de l'intérieur. près de deux pieds de vis brillante étaient projetés.
de la vis brillante. quelqu'un a fait une bévue contre moi, et j'ai manqué de peu d'être projeté sur le haut de la vis.
et j'ai manqué de peu d'être projeté sur le sommet de la vis.
Je me suis retourné et, ce faisant, la vis a dû se détacher, car le couvercle du cylindre est tombé sur le gravier avec un bruit sourd.
le couvercle du cylindre tomba sur le gravier avec une commotion retentissante.
coude dans la personne derrière moi, et je tournai à nouveau la tête vers la chose.
Pendant un instant, cette cavité circulaire m'a semblé parfaitement noire.
J'avais le coucher de soleil dans les yeux.","l'extrémité du cylindre était dévissée de l'intérieur. près de deux
pieds de vis brillants projetés. quelqu'un a fait une gaffe contre moi, et je
a raté de peu d'être lancé sur le dessus de la vis. je me suis retourné et
ce faisant, la vis a dû sortir, pour le couvercle du cylindre
tomba sur le gravier avec une commotion retentissante. j'ai mis mon coude dedans
la personne derrière moi, et j'ai de nouveau tourné la tête vers la chose. pour un
à ce moment-là, cette cavité circulaire semblait parfaitement noire. j'ai eu le coucher de soleil
mes yeux.","le sommet du cylindre continuait à se dévisser de l’intérieur. déjà
cinquante centimètres de vis brillante paraissaient; quelqu’un vint
trébucher contre moi et je faillis bien être précipité contre le
cylindre. je me retournai, et à ce moment le dévissage dut être au bout,
car le couvercle tomba sur les graviers avec un choc retentissant.
j’opposai solidement mon coude à la personne qui se trouvait derrière
moi et tournai mes regards vers la chose. pendant un moment cette cavité
circulaire sembla parfaitement noire. j’avais le soleil dans les yeux."
